Team,Year,attend,n345,avgstar,pf,pa,confcham,natchamp,yrsrank,wksrank,finpoll,numbowls,expec
Arizona,2006,2.157436055,2.735656071,5.478758353,2.065903854,3.343315742,0,0,0,0,0,0.322857252,0.430335112
Arizona St.,2006,2.109645973,2.279713392,5.077873596,3.612736388,4.637961412,0,0,1.779387788,0.78442232,0,0.968571757,0.451766068
Arkansas,2006,2.857158631,2.165727723,4.944245343,4.194096266,3.642080127,2.038472167,0,2.15181779,1.764950221,2.406107199,2.260000767,1.102052062
Arkansas St.,2006,0.737305067,0.11398567,3.424223971,1.889419605,4.111567018,0,0,0,0,0,0,-0.793769701
Army (NY),2006,1.186787022,0,1.753870814,2.408490925,4.766003291,0,0,0,0,0,0.107619084,-1.044211625
Auburn (AL),2006,3.288970629,2.507684732,5.879643111,3.342819301,2.575064465,0,0,2.441485569,2.745478122,2.406107199,1.506667178,1.498510998
Ball St. (IN),2006,0.582335288,0.341957009,3.557852223,3.384345007,4.396104528,0,0,0,0,0,0,-0.833965992
Baylor (TX),2006,1.433702443,1.139856696,3.908626386,2.937943672,5.562708319,0,0,0,0,0,0.753333589,-0.278065192
Boise St. (ID),2006,1.17746873,0.341957009,3.62466635,5.356816023,3.257954489,1.558831657,0,0.662097781,2.353266961,2.406107199,0.322857252,-0.267396744
Boston College (MA),2006,1.50186904,1.709785044,4.760506496,3.508922124,2.902282601,0,0,1.117290006,2.549372541,2.406107199,0.430476337,0.2159235
Bowling Green (OH),2006,0.650888536,0.11398567,3.273892187,2.429253778,4.837137669,0,0,0,0,0,0,-0.895208447
Brigham Young (UT),2006,2.340167386,0.569928348,3.658073413,4.96232182,2.71733322,2.757932931,0,1.324195563,0.980527901,2.406107199,0.215238168,0.113198028
Buffalo (NY),2006,0.634765184,0.227971339,3.557852223,2.283913808,6.131783339,0,0,0,0,0,0,-0.873872844
California,2006,2.48686283,1.937756384,5.512165416,4.432869074,3.57094575,1.678741784,0,1.53110112,2.745478122,2.406107199,0.860952673,0.903023432
Central Florida,2006,1.220618997,0.683914018,3.825108728,2.408490925,4.908272046,0,0,0,0,0,0.107619084,-0.493378821
Central Michigan,2006,0.833735862,0,3.340706313,4.318673383,4.438785155,1.678741784,0,0,0,0,0,-0.786836538
Cincinnati (OH),2006,0.787724376,0.11398567,3.257188655,2.844510834,3.627853251,0,0,0,0,0,0.215238168,-0.75658065
Clemson (SC),2006,3.208895177,2.051742053,5.679200732,4.412106221,2.987643854,0,0,1.986293344,2.549372541,0,1.721905346,1.424001756
Colorado,2006,1.780451189,1.595799375,4.409732333,2.034759575,3.798575757,0,0,0,0,0,1.076190841,0.125061085
Colorado St.,2006,0.935038462,0.341957009,3.557852223,2.097048133,3.741668255,0,0,0,0,0,0,-0.662694155
Connecticut,2006,1.505580891,0.455942678,3.641369881,2.668026585,4.609507661,0,0,0,0,0,0.107619084,-0.411258924
Duke (NC),2006,0.75706294,1.025871027,3.975440512,1.858275326,5.776111451,0,0,0,0,0,0.753333589,-0.552002142
East Carolina (NC),2006,1.437104973,0.455942678,3.591259286,2.906799393,3.841256384,0,0,0,0,0,0.107619084,-0.425688447
Eastern Michigan,2006,0.569691796,0,3.340706313,1.733698209,4.58105391,0,0,0,0,0,0,-0.902657484
Florida,2006,3.49567433,2.96362741,6.497673779,4.318673383,2.688879469,1.199101275,7.87453265,2.441485569,2.745478122,2.406107199,1.614286262,1.764029808
Florida Atlantic,2006,0.358657601,0,3.340706313,1.879038179,4.253835773,0,0,0,0,0,0,-0.979501883
Florida International,2006,0.584229879,0,3.340706313,1.193864036,4.45301203,0,0,0,0,0,0,-0.891993608
Florida St.,2006,3.113778995,3.419570089,6.146899616,3.581592109,3.670533878,0,0,1.820768899,1.176633481,0,2.690477103,1.559379758
Fresno St. (CA),2006,1.490578826,0.797899687,3.925329918,2.865273687,4.822910793,0,0,0,0,0,0,-0.372133234
Georgia,2006,3.586034703,3.191598749,6.08008549,3.394726433,3.257954489,0,0,2.607010014,1.372739061,2.406107199,2.260000767,1.686002875
Georgia Tech,2006,1.957112097,1.139856696,4.493249991,3.623117814,3.656307002,1.918562039,0,1.986293344,2.157161381,0,1.937143514,0.574896991
Hawaii,2006,1.414717872,0,3.340706313,6.81021572,4.794457042,0,0,0.372430002,0.58831674,0,0.107619084,-0.485808029
Houston (TX),2006,0.847152657,0.11398567,3.407520439,4.796218998,4.680642038,1.199101275,0,0,0,0,0.538095421,-0.666163242
Idaho,2006,0.562306759,0.11398567,3.424223971,2.10742956,5.932607082,0,0,0,0,0,0,-0.932110371
Illinois,2006,1.679805896,2.051742053,4.827320622,2.439635204,4.566827034,0,0,0,0,0,0.753333589,0.100949698
Indiana,2006,1.278384678,0.569928348,3.74159107,2.875655113,5.605388945,0,0,0,0,0,0.322857252,-0.473375626
Iowa,2006,2.729177102,1.481813705,4.526657054,3.218242185,3.827029508,0,0,1.779387788,1.372739061,0,1.076190841,0.666399883
Iowa St.,2006,1.785206998,1.709785044,4.175882891,2.346202367,5.249717058,0,0,0,0,0,0.107619084,-0.177009251
Kansas,2006,1.706562155,1.937756384,4.543360586,3.612736388,4.353423902,0,0,0,0,0,0.322857252,-0.039442207
Kansas St.,2006,1.805390188,1.481813705,4.175882891,3.072902215,4.396104528,0,0,0,0,0,0.645714505,-0.031906268
Kent St. (OH),2006,0.657461606,0,3.140263934,2.22162525,3.428676995,0,0,0,0,0,0,-0.877172739
Kentucky,2006,2.21667101,1.481813705,4.225993486,3.602354961,5.249717058,0,0,0,0,0,0.538095421,0.102021735
Louisiana-Lafayette,2006,0.561262801,0.11398567,3.424223971,2.574593748,4.211155147,0,0,0,0,0,0,-0.87115819
Louisiana-Monroe,2006,0.718939138,0,2.889710961,2.719933717,3.798575757,0,0,0,0,0,0,-0.930108807
Louisiana St.,2006,3.565387532,2.84964174,5.846236048,4.547064764,2.333207581,0,0,2.524247792,2.745478122,2.406107199,3.12095344,1.932924335
Louisiana Tech,2006,0.563969359,0.341957009,3.390816908,2.512305189,7.710966519,0,0,0,0,0,0,-1.003569859
Louisville (KY),2006,1.603906277,2.165727723,4.877431217,5.097280363,3.016097605,0.839370892,0,0.703478893,2.745478122,2.406107199,0.322857252,0.280267811
Marshall (WV),2006,1.006491594,0.455942678,3.557852223,3.228623611,4.993633299,0,0,0,0,0,0,-0.677372041
Maryland,2006,1.909785997,1.595799375,5.011059469,2.948325098,4.040432641,0,0,1.613863342,0.58831674,0,0.753333589,0.313030578
Massachusetts,2006,0.45095123,0,1.670353156,4.287529104,2.845375099,2.398202549,0,0,0,0,0,-1.327431142
Memphis (TN),2006,1.254296312,0.227971339,3.541148692,2.917180819,5.192809556,0,0,0,0,0,0,-0.584907545
Miami (FL),2006,1.620377615,2.165727723,5.612386606,2.647263732,2.859601975,0,0,2.110436678,0.58831674,0,2.367619851,0.709616445
Miami (OH),2006,0.589411004,0.11398567,3.424223971,2.304676661,4.324970151,0,0,0,0,0,0,-0.8634109
Michigan,2006,4.25416788,2.051742053,6.063381958,3.944942033,2.944963228,0,0,3.020821128,2.745478122,2.406107199,2.690477103,2.171837414
Michigan St.,2006,2.738224739,1.595799375,4.242697017,3.135190773,4.851364544,0,0,0,0,0,0.860952673,0.403068193
Middle Tennessee St.,2006,0.852063127,0,3.340706313,3.072902215,4.2965164,2.398202549,0,0,0,0,0,-0.774076019
Minnesota,2006,2.018589629,1.025871027,3.724887539,3.903416327,4.808683918,0,0,0,0,0,0.215238168,-0.160109194
