"date","coach","coach2","coach_win","coach_margin","year"
-25235,"James H. Horne","Alpha P. Jamison",1,19,1900
-25235,"Alden Knipe","Charles M. ""Doc"" Hollister",0,0,1900
-25235,"Lawrence William ""Larry"" Boynton","David Lewis Fultz",0,0,1900
-25235,"Henry L. ""Doc"" Williams","Walter C. ""Bummy"" Booth",1,8,1900
-25235,"Z.N. Estes","H.T. Summersgill",0,-12,1900
-25235,"Dr. John McKee","I.O. Hunt",0,-12,1900
-25235,"Samuel Huston Thompson","W.A. Murray",1,11,1900
-25234,"Walter Hudson ""Billy"" Watkins","E.E. Jones",1,44,1900
-25234,"J.S. Dodge","William L. Allen",0,0,1900
-25233,"Herman J. Koehler","Garrett Cochran",0,-4,1900
-25233,"Lawrence Kaarsberg","J.S. Dodge",1,43,1900
-24931,"William N. ""Pop"" Golden","Wilbur D. Hockensmith",1,27,1901
-24925,"W.H. Kiler","Walter Hudson ""Billy"" Watkins",0,-22,1901
-24919,"W.J. Ritchie","W.A. Murray",1,11,1901
-24918,"Henry Pratt","W.H. Kiler",0,0,1901
-24918,"Fred G. Folsom","Clarence J. Griffith",0,-1,1901
-24918,"Fred G. Folsom","George E. Toomey",0,-1,1901
-24918,"William A. ""Billy"" Reynolds","Byron W. ""By"" Dickson",1,5,1901
-24918,"James H. Horne","Fielding H. ""Hurry Up"" Yost",0,-33,1901
-24918,"Henry L. ""Doc"" Williams","Walter C. ""Bummy"" Booth",1,19,1901
-24918,"Charles M. ""Doc"" Hollister","Pat O'Dea",1,2,1901
