"Coach","Year","Rating","Rank"
"Charlie Weis",2005,1552.73952078932,18
"Charlie Weis",2006,1591.83242359091,12
"Charlie Weis",2007,1499.48497616614,77
"Charlie Weis",2008,1507.63078269813,69
"Charlie Weis",2009,1505.19425763213,79
"Charlie Weis",2012,1406.31852846045,253
"Charlie Weis",2013,1398.54108542688,284
"Charlie Weis",2014,1396.40560398121,303
"Chip Kelly",2009,1573.89655210812,27
"Chip Kelly",2010,1625.20815163675,12
"Chip Kelly",2011,1664.4741138782,6
"Chip Kelly",2012,1690.2092584014,3
"Chris Ault",2005,1552.41095805644,19
"Chris Ault",2006,1547.956985446,28
"Chris Ault",2007,1503.69927048731,73
"Chris Ault",2008,1500.78265933782,83
"Chris Ault",2009,1525.87575463845,54
"Chris Ault",2010,1609.87002957754,15
"Chris Ault",2011,1569.36374933007,35
"Chris Ault",2012,1541.85906874448,56
"Chris Creighton",2014,1423.24123627509,283
"Chris Creighton",2015,1366.61680045221,328
"Chris Hatcher",2007,1497.26373306081,82
"Chris Hatcher",2008,1480.88019061161,108
"Chris Hatcher",2009,1466.66676337296,134
"Chris Petersen",2006,1600.63098520207,10
"Chris Petersen",2007,1597.62756272593,15
"Chris Petersen",2008,1633.01656776591,8
"Chris Petersen",2009,1681.25583970839,4
"Chris Petersen",2010,1693.02097011755,3
"Chris Petersen",2011,1704.41642684791,1
"Chris Petersen",2012,1690.29646563626,2
"Chris Petersen",2013,1608.6011179335,22
"Chris Petersen",2014,1567.450079594,39
"Chris Petersen",2015,1562.0662371318,42
"Chris Scelfo",2005,1425.23106239562,118
"Chris Scelfo",2006,1425.04101404327,125
"Chris Thomsen",2012,1529.84996883266,73
"Chris Thurmond",2007,1505.06517846086,69
"Chuck Amato",2005,1514.19327729824,47
"Chuck Amato",2006,1463.02292710322,99
"Chuck Long",2006,1457.57208708038,101
"Chuck Long",2007,1435.32620811283,139
"Chuck Long",2008,1405.77897561132,163
"Chuck Martin",2014,1429.66419156694,280
"Chuck Martin",2015,1396.98160678479,320
"Clay Helton",2013,1565.18681066014,38
"Clay Helton",2015,1556.54959954364,46
"Clint Bowen",2014,1453.92001545768,252
"Craig Bohl",2014,1445.42075012411,267
"Craig Bohl",2015,1408.61197999769,313
"Curtis Johnson",2012,1416.6388929807,247
"Curtis Johnson",2013,1438.53086448449,248
"Curtis Johnson",2014,1409.71225356925,297
"Curtis Johnson",2015,1395.0028897926,322
"D.J. Durkin",2014,1527.96680070316,77
"Dabo Swinney",2008,1502.53224073887,78
"Dabo Swinney",2009,1536.40708527406,46
"Dabo Swinney",2010,1502.99193784132,90
"Dabo Swinney",2011,1554.16295804122,41
"Dabo Swinney",2012,1614.70943683472,15
"Dabo Swinney",2013,1635.58406279181,13
"Dabo Swinney",2014,1640.65739082165,8
"Dabo Swinney",2015,1700.39803605157,3
"Dan Enos",2010,1421.04682641753,200
"Dan Enos",2011,1382.25033798731,242
"Dan Enos",2012,1443.6780120957,229
"Dan Enos",2013,1477.65845098499,202
